img,acc,iou,acc_crf,iou_crf
../dataset_ccp/test/photos\0365.jpg,87.947,50.2402881288,88.30475,51.1124131398
../dataset_ccp/test/photos\0383.jpg,87.56975,53.6972044052,85.5145,44.7628237629
../dataset_ccp/test/photos\0385.jpg,88.27925,48.4819832805,89.22375,51.0671246434
../dataset_ccp/test/photos\0391.jpg,90.643,65.3214529941,95.39075,83.0933522282
../dataset_ccp/test/photos\0392.jpg,84.827,44.0324095076,86.1925,45.6570647139
../dataset_ccp/test/photos\0394.jpg,93.4965,70.7564756672,97.65775,90.52671676
../dataset_ccp/test/photos\0397.jpg,88.9285,62.9423491317,90.6305,68.8582005693
../dataset_ccp/test/photos\0402.jpg,87.54425,51.2732158724,90.81525,63.9500407277
../dataset_ccp/test/photos\0404.jpg,79.03775,10.836178891,79.4485,11.3793888004
../dataset_ccp/test/photos\0408.jpg,86.1605,34.1465598854,85.021,26.9240856955
../dataset_ccp/test/photos\0412.jpg,85.78875,30.052888371,85.93225,29.5120156155
../dataset_ccp/test/photos\0420.jpg,85.5285,42.1145346058,87.0675,48.3560782375
../dataset_ccp/test/photos\0422.jpg,89.27825,54.7029642182,90.97225,60.6851686564
../dataset_ccp/test/photos\0423.jpg,91.88975,74.8726048216,92.5125,77.481514896
../dataset_ccp/test/photos\0426.jpg,88.1275,50.5009317111,89.07725,53.8941757397
../dataset_ccp/test/photos\0428.jpg,83.23475,33.3430157166,81.53,25.6768114889
../dataset_ccp/test/photos\0432.jpg,86.9315,36.3247281287,85.2045,24.7871445069
../dataset_ccp/test/photos\0442.jpg,81.0755,27.5411395514,83.967,39.3698256601
../dataset_ccp/test/photos\0443.jpg,89.0375,43.5029404942,90.2345,48.7794680908
../dataset_ccp/test/photos\0448.jpg,91.06125,49.5822755597,91.27,50.074190856
../dataset_ccp/test/photos\0456.jpg,85.795,34.7740349063,84.61325,27.9106489973
../dataset_ccp/test/photos\0479.jpg,82.9595,39.6567795597,86.7025,52.9527290196
../dataset_ccp/test/photos\0487.jpg,90.044,57.9241827723,91.057,61.4412193209
../dataset_ccp/test/photos\0502.jpg,90.053,60.5577011958,90.27575,60.4313211839
../dataset_ccp/test/photos\0507.jpg,85.73025,47.7568600411,86.4535,49.0281041314
../dataset_ccp/test/photos\0512.jpg,85.028,44.2016997615,84.41,40.7655953703
../dataset_ccp/test/photos\0513.jpg,93.8245,75.4741308702,94.585,78.0297248018
../dataset_ccp/test/photos\0515.jpg,93.74325,75.9132021272,97.06625,89.7284033239
../dataset_ccp/test/photos\0520.jpg,83.53075,21.8206166342,83.829,20.72698463
../dataset_ccp/test/photos\0521.jpg,87.756,41.6911458793,87.31375,38.1253392076
../dataset_ccp/test/photos\0526.jpg,88.02425,41.3853606931,89.49,47.8076905791
../dataset_ccp/test/photos\0529.jpg,88.42525,62.337430805,90.74225,69.0533529297
